draw_date,digit1,digit2,digit3,digit4,digit5,digit6,digit_sum,odd_count,even_count,repeat_count,entropy,mirror_score,transition_score
2021-05-02,5,0,1,2,7,2,17,3,3,1,2.2516,0,2
2021-04-16,1,0,0,7,8,7,23,3,3,2,1.9183,0,4
2021-04-01,4,7,2,2,7,0,22,2,4,2,1.9183,2,2
2021-03-16,8,9,0,4,2,2,25,1,5,1,2.2516,0,3
2021-03-01,8,3,5,5,3,8,32,4,2,3,1.585,3,3
2021-02-16,4,2,4,6,0,3,19,1,5,1,2.2516,0,4
2021-02-01,9,1,2,3,0,7,22,4,2,0,2.585,0,3
2021-01-17,3,8,4,3,9,5,32,4,2,1,2.2516,0,1
2020-12-30,8,0,3,6,2,8,27,1,5,1,2.2516,1,2
2020-12-16,2,0,1,3,0,3,9,3,3,2,1.9183,1,5
2020-12-01,1,0,0,9,9,4,23,3,3,2,1.9183,0,3
2020-11-16,9,7,2,6,6,1,31,3,3,1,2.2516,0,2
2020-11-01,5,0,6,4,0,4,19,1,5,2,1.9183,1,1
2020-10-16,2,8,6,0,5,1,22,2,4,0,2.585,0,1
2020-10-01,8,3,7,8,9,3,38,4,2,2,1.9183,0,2
2020-09-16,2,4,4,0,8,3,21,1,5,1,2.2516,0,2
2020-09-01,9,9,9,9,9,7,52,6,0,1,0.65,2,5
2020-08-16,9,4,5,8,1,1,28,4,2,1,2.2516,0,3
2020-08-01,5,6,9,3,9,1,33,5,1,1,2.2516,0,2
2020-07-16,8,7,3,2,8,6,34,2,4,1,2.2516,0,3
2020-07-01,3,4,7,2,5,8,29,3,3,0,2.585,0,4
2020-06-16,5,1,6,9,6,7,34,4,2,1,2.2516,0,3
2020-06-01,8,3,1,5,6,7,30,4,2,0,2.585,0,3
2020-05-16,0,5,1,0,9,5,20,4,2,2,1.9183,0,1
2020-03-16,5,0,3,4,4,6,22,2,4,1,2.2516,0,4
2020-03-01,8,7,5,9,3,8,40,4,2,1,2.2516,1,2
2020-02-16,7,8,1,4,0,3,23,3,3,0,2.585,0,3
2020-02-01,5,8,9,2,2,7,33,3,3,1,2.2516,0,3
2020-01-17,4,9,1,7,7,4,32,4,2,2,1.9183,1,2
2019-12-30,5,1,0,5,4,1,16,4,2,2,1.9183,0,3
2019-12-16,5,2,9,9,2,4,31,3,3,2,1.9183,2,3
2019-12-01,4,5,3,5,2,2,21,3,3,2,1.9183,0,5
2019-11-16,0,1,7,2,2,3,15,3,3,1,2.2516,0,3
2019-11-01,9,6,7,3,7,5,37,5,1,1,2.2516,0,3
2019-10-16,8,1,2,5,6,4,26,2,4,0,2.585,0,4
2019-10-01,6,9,1,1,9,7,33,5,1,2,1.9183,2,3
2019-09-16,3,4,0,3,8,8,26,2,4,2,1.9183,0,3
2019-09-01,7,9,8,7,8,7,46,4,2,2,1.4591,1,5
2019-08-16,7,7,5,4,7,6,36,4,2,1,1.7925,1,5
2019-08-01,3,8,7,0,0,6,24,2,4,1,2.2516,0,2
2019-07-15,3,6,9,7,6,5,36,4,2,1,2.2516,1,5
2019-07-01,9,4,3,6,4,7,33,3,3,1,2.2516,1,4
2019-06-16,1,7,4,0,5,5,22,4,2,1,2.2516,0,2
2019-06-01,5,1,6,4,6,1,23,3,3,2,1.9183,0,2
2019-05-16,9,6,2,5,2,6,30,2,4,2,1.9183,0,3
2019-05-02,0,6,1,3,2,4,16,2,4,0,2.585,0,3
2019-04-16,5,7,0,3,3,1,19,5,1,1,2.2516,0,4
2019-04-01,1,0,9,7,6,7,30,4,2,1,2.2516,0,4
2019-03-16,7,2,4,6,2,8,29,1,5,1,2.2516,1,2
2019-03-01,3,4,5,6,5,0,23,3,3,1,2.2516,0,4
2019-02-16,0,7,4,8,2,4,25,1,5,1,2.2516,0,2
2019-02-01,9,6,7,1,3,4,30,4,2,0,2.585,0,4
2019-01-17,1,9,7,0,7,9,33,5,1,2,1.9183,0,2
2018-12-30,7,3,5,8,6,7,36,4,2,1,2.2516,1,4
2018-12-16,3,5,6,5,6,4,29,3,3,2,1.9183,0,5
2018-12-01,0,2,1,8,4,0,15,1,5,1,2.2516,1,2
2018-11-16,9,8,9,9,0,3,38,4,2,1,1.7925,1,4
2018-11-01,1,4,9,8,4,0,26,2,4,1,2.2516,1,2
2018-10-16,2,0,0,5,1,5,13,3,3,2,1.9183,0,2
2018-10-01,4,5,2,6,4,3,24,2,4,1,2.2516,0,4
2018-09-16,1,4,9,7,6,0,27,3,3,0,2.585,0,3
2018-09-01,7,3,4,5,1,0,20,4,2,0,2.585,0,3
2018-08-16,5,8,6,1,1,7,28,4,2,1,2.2516,0,3
2018-08-01,3,8,6,6,0,2,25,1,5,1,2.2516,1,3
2018-07-16,5,9,6,3,2,4,29,3,3,0,2.585,0,4
2018-07-01,9,6,3,6,2,3,29,3,3,2,1.9183,0,4
2018-06-16,2,2,3,1,3,1,12,4,2,3,1.585,0,5
2018-06-01,9,8,8,1,1,7,34,4,2,2,1.9183,0,3
2018-05-16,0,7,5,6,2,9,29,3,3,0,2.585,0,2
2018-05-02,2,4,8,0,3,8,25,1,5,1,2.2516,0,2
2018-04-16,7,3,9,2,2,9,32,4,2,2,1.9183,0,1
2018-04-01,4,1,2,0,7,3,17,3,3,0,2.585,0,3
2018-03-16,2,1,8,5,5,9,30,4,2,1,2.2516,0,3
2018-03-02,7,5,9,4,1,5,31,5,1,1,2.2516,0,2
2018-02-16,3,0,9,9,1,5,27,5,1,1,2.2516,1,2
2018-02-01,0,2,6,8,5,3,24,2,4,0,2.585,0,4
2018-01-17,2,0,3,8,2,3,18,2,4,2,1.9183,0,3
2017-12-30,9,1,1,2,3,4,20,4,2,1,2.2516,0,4
2017-12-16,9,5,5,5,9,6,39,5,1,2,1.4591,1,3
2017-12-01,4,5,1,0,0,5,15,3,3,2,1.9183,0,3
2017-11-16,2,9,2,3,9,1,26,4,2,2,1.9183,1,1
2017-11-01,5,3,3,7,2,6,26,4,2,1,2.2516,0,2
2017-10-16,4,1,3,4,9,4,25,3,3,1,1.7925,1,3
2017-10-01,8,8,0,7,1,4,28,2,4,1,2.2516,0,2
2017-09-16,1,7,0,1,4,3,16,4,2,1,2.2516,0,3
2017-09-01,1,4,3,2,2,4,16,2,4,2,1.9183,0,5
2017-08-16,7,1,5,4,3,1,21,5,1,1,2.2516,0,3
2017-08-01,7,5,6,5,1,9,33,5,1,1,2.2516,0,3
2017-07-16,8,2,0,3,2,7,22,2,4,1,2.2516,1,3
2017-07-01,1,1,2,3,6,0,13,3,3,1,2.2516,0,4
2017-06-16,9,4,3,1,4,2,23,3,3,1,2.2516,1,4
2017-06-01,0,5,3,6,3,0,17,3,3,2,1.9183,1,4
2017-05-16,4,5,4,8,9,1,31,3,3,1,2.2516,0,3
2017-05-02,0,0,8,6,5,6,25,1,5,2,1.9183,0,4
2017-04-16,8,1,6,7,2,9,33,3,3,0,2.585,0,1
2017-04-01,3,9,2,7,8,5,34,4,2,0,2.585,0,2
2017-03-16,2,7,3,8,6,3,29,3,3,1,2.2516,0,2
2017-03-01,9,7,8,4,5,3,36,4,2,0,2.585,0,4
2017-02-16,2,2,9,1,1,6,21,3,3,2,1.9183,0,2
2017-02-01,0,5,4,6,7,2,24,2,4,0,2.585,0,3
2017-01-17,1,4,5,1,5,7,23,5,1,2,1.9183,0,3
2016-12-30,3,7,7,7,1,2,27,5,1,1,1.7925,1,3
2016-12-16,4,3,5,2,8,6,28,2,4,0,2.585,0,4
2016-12-01,0,8,6,0,6,9,29,1,5,2,1.9183,0,2
2016-11-16,8,5,8,3,8,3,35,3,3,2,1.4591,0,2
2016-11-01,7,8,5,4,3,8,35,3,3,1,2.2516,0,4
2016-10-16,5,7,1,9,4,7,33,5,1,1,2.2516,0,2
2016-10-01,8,8,7,1,0,2,26,2,4,1,2.2516,0,4
2016-09-16,2,4,0,6,5,0,17,1,5,1,2.2516,0,2
2016-09-01,6,3,8,6,8,4,35,1,5,2,1.9183,0,3
2016-08-16,2,5,4,0,0,4,15,1,5,2,1.9183,0,3
2016-08-01,2,7,2,9,3,2,25,3,3,1,1.7925,1,1
2016-07-16,4,4,9,7,6,4,34,2,4,1,1.7925,1,4
2016-07-01,0,8,2,4,6,0,20,0,6,1,2.2516,1,2
2016-06-16,0,7,3,8,1,6,25,3,3,0,2.585,0,0
2016-06-01,5,1,1,8,2,5,22,4,2,2,1.9183,1,2
2016-05-16,1,4,1,7,3,7,23,5,1,2,1.9183,0,2
2016-05-02,3,9,9,4,5,9,39,5,1,1,1.7925,0,2
2016-04-16,2,2,1,6,0,9,20,2,4,1,2.2516,0,2
2016-04-01,0,6,6,7,2,0,21,1,5,2,1.9183,1,3
2016-03-16,1,3,4,9,1,8,26,4,2,1,2.2516,0,2
2016-03-01,4,3,9,6,8,6,36,2,4,1,2.2516,0,4
2016-02-16,3,5,6,3,6,4,27,3,3,2,1.9183,0,5
2016-02-01,9,2,7,8,0,0,26,2,4,1,2.2516,0,2
2016-01-17,3,0,4,3,7,1,18,4,2,1,2.2516,0,2
2015-12-30,0,0,8,2,1,7,18,2,4,1,2.2516,0,2
2015-12-17,9,3,0,2,5,5,24,4,2,1,2.2516,0,4
2015-12-01,9,1,5,3,5,0,23,5,1,1,2.2516,0,2
2015-11-16,7,9,5,2,8,3,34,4,2,0,2.585,0,2
2015-11-01,3,6,1,2,1,1,14,4,2,1,1.7925,0,4
2015-10-16,9,6,8,6,3,0,32,2,4,1,2.2516,0,5
2015-10-01,5,9,4,8,2,5,33,3,3,1,2.2516,1,1
2015-09-16,7,4,3,1,4,8,27,3,3,1,2.2516,1,4
2015-09-01,0,2,1,0,9,4,16,2,4,1,2.2516,0,3
2015-08-16,0,3,3,3,6,3,18,4,2,1,1.2516,1,5
2015-08-01,5,1,8,6,7,7,34,4,2,1,2.2516,0,3
2015-07-16,1,2,1,5,0,7,16,4,2,1,2.2516,0,2
2015-07-01,7,5,9,0,4,9,34,4,2,1,2.2516,0,1
2015-06-16,6,4,4,7,4,2,27,1,5,1,1.7925,1,5
2015-06-02,3,8,8,8,1,1,29,3,3,2,1.4591,1,3
2015-05-16,0,1,1,4,2,1,9,3,3,1,1.7925,0,5
2015-05-02,5,4,3,4,6,6,28,2,4,2,1.9183,0,5
2015-04-16,5,0,6,2,6,0,19,1,5,2,1.9183,0,0
2015-04-01,5,7,0,4,4,4,24,2,4,1,1.7925,0,3
2015-03-16,0,4,8,1,5,1,19,3,3,1,2.2516,0,0
2015-03-01,2,4,0,2,3,7,18,2,4,1,2.2516,0,3
2015-02-16,0,0,1,8,6,4,19,1,5,1,2.2516,0,4
2015-02-01,1,5,5,5,3,7,26,6,0,1,1.7925,1,3
2015-01-16,2,4,4,3,5,1,19,3,3,1,2.2516,0,4
2014-12-30,4,6,1,7,0,4,22,2,4,1,2.2516,1,1
2014-12-16,9,4,8,3,5,4,33,3,3,1,2.2516,0,2
2014-12-01,4,8,0,4,4,9,29,1,5,1,1.7925,0,1
2014-11-16,4,7,9,8,0,4,32,2,4,1,2.2516,1,3
2014-11-01,2,0,6,6,0,8,22,0,6,2,1.9183,2,2
2014-10-16,6,5,6,4,0,9,30,2,4,1,2.2516,0,3
2014-10-01,3,7,5,6,1,5,27,5,1,1,2.2516,0,2
2014-09-16,7,7,2,2,6,9,33,3,3,2,1.9183,1,3
2014-09-01,8,5,6,7,6,3,35,3,3,1,2.2516,0,5
2014-08-16,6,6,2,8,4,2,28,0,6,2,1.9183,0,2
2014-08-01,7,6,6,3,9,1,32,4,2,1,2.2516,0,3
2014-07-16,4,6,8,7,2,8,35,1,5,1,2.2516,0,3
2014-07-01,3,7,8,4,7,7,36,4,2,1,1.7925,1,3
2014-06-16,6,7,3,9,2,0,27,3,3,0,2.585,0,2
2014-06-01,7,8,1,1,9,8,34,4,2,2,1.9183,1,3
2014-05-16,0,8,7,5,2,3,25,3,3,0,2.585,0,4
2014-05-02,1,0,3,2,9,7,22,4,2,0,2.585,0,4
2014-04-16,1,5,3,4,0,6,19,3,3,0,2.585,0,2
2014-04-01,0,2,8,8,6,6,30,0,6,2,1.9183,1,4
2014-03-16,5,3,1,4,0,4,17,3,3,1,2.2516,0,3
2014-03-01,9,0,6,3,1,8,27,3,3,0,2.585,0,2
2014-02-16,3,8,4,2,4,5,26,2,4,1,2.2516,0,3
2014-02-01,1,8,0,1,4,9,23,3,3,1,2.2516,0,2
2014-01-16,3,0,6,9,0,2,20,2,4,1,2.2516,1,3
2013-12-30,5,6,1,0,7,2,21,3,3,0,2.585,0,2
2013-12-16,3,4,1,7,6,7,28,4,2,1,2.2516,0,4
2013-12-01,1,6,8,7,9,5,36,4,2,0,2.585,0,3
2013-11-16,8,0,6,9,2,5,30,2,4,0,2.585,0,2
2013-11-01,7,3,9,8,0,4,31,3,3,0,2.585,0,1
2013-10-16,9,6,3,2,8,9,37,3,3,1,2.2516,1,4
2013-10-01,6,4,7,8,8,2,35,1,5,1,2.2516,0,4
2013-09-16,5,6,2,6,8,4,31,1,5,1,2.2516,0,2
2013-09-01,5,4,8,1,2,3,23,3,3,0,2.585,0,3
2013-08-16,3,2,1,3,2,7,18,4,2,2,1.9183,1,4
2013-08-01,3,5,6,4,3,5,26,4,2,2,1.9183,0,5
2013-07-16,5,6,6,9,9,6,41,3,3,2,1.4591,0,5
2013-07-01,6,4,6,9,0,5,30,2,4,1,2.2516,0,3
2013-06-16,2,8,9,6,7,3,35,3,3,0,2.585,0,3
2013-06-01,9,3,5,4,8,9,38,4,2,1,2.2516,1,3
2013-05-16,6,8,7,1,2,5,29,3,3,0,2.585,0,4
2013-05-02,6,0,3,4,5,8,26,2,4,0,2.585,0,4
2013-04-16,8,4,3,8,4,6,33,1,5,2,1.9183,1,2
2013-04-01,5,7,1,6,8,8,35,3,3,1,2.2516,0,3
2013-03-16,9,6,8,4,3,3,33,3,3,1,2.2516,0,4
2013-03-01,9,7,6,2,4,1,29,3,3,0,2.585,0,4
2013-02-16,3,6,8,2,5,7,31,3,3,0,2.585,0,4
2013-02-01,5,6,5,5,6,6,33,3,3,2,1.0,2,5
2013-01-16,8,2,0,9,8,1,28,2,4,1,2.2516,0,2
2012-12-30,3,0,2,3,5,8,21,3,3,1,2.2516,0,5
2012-12-16,5,2,9,5,2,4,27,3,3,2,1.9183,1,3
2012-12-01,1,1,0,4,4,3,13,3,3,2,1.9183,0,4
2012-11-16,6,3,9,5,0,0,23,3,3,1,2.2516,0,2
2012-11-01,5,2,4,6,9,4,30,2,4,1,2.2516,0,4
2012-10-16,2,8,1,3,4,3,21,3,3,1,2.2516,0,3
2012-10-01,1,2,4,0,2,5,14,2,4,1,2.2516,1,4
2012-09-16,5,4,0,1,4,3,17,3,3,1,2.2516,1,4
2012-09-01,3,2,9,9,9,7,39,5,1,1,1.7925,1,4
2012-08-16,6,8,3,8,7,7,39,3,3,2,1.9183,0,3
2012-08-01,8,9,5,5,9,0,36,4,2,2,1.9183,2,2
2012-07-16,9,0,4,0,5,0,18,2,4,1,1.7925,0,0
2012-07-01,9,1,5,9,0,0,24,4,2,2,1.9183,0,1
2012-06-16,1,5,9,3,7,3,28,6,0,1,2.2516,0,0
2012-06-01,8,8,2,7,2,7,34,2,4,3,1.585,0,1
2012-05-16,8,1,4,4,1,8,26,2,4,3,1.585,3,3
2012-05-02,8,8,9,5,0,1,31,3,3,1,2.2516,0,3
2012-04-16,5,8,3,4,7,0,27,3,3,0,2.585,0,3
2012-04-01,2,5,7,5,6,2,27,3,3,2,1.9183,1,4
2012-03-16,6,0,7,0,6,4,23,1,5,2,1.9183,0,1
2012-03-01,2,2,2,5,1,8,20,2,4,1,1.7925,0,3
2012-02-16,6,4,8,6,8,4,36,0,6,3,1.585,0,3
2012-02-01,3,2,0,6,0,5,16,2,4,1,2.2516,0,2
2012-01-16,4,5,1,4,4,5,23,3,3,2,1.4591,0,4
2011-12-30,5,2,6,4,0,2,19,1,5,1,2.2516,0,3
2011-12-16,8,8,4,1,7,8,36,2,4,1,1.7925,1,3
2011-12-01,4,0,8,1,4,7,24,2,4,1,2.2516,0,2
2011-11-16,9,9,7,7,7,7,46,6,0,2,0.9183,1,5
2011-11-01,8,0,5,5,4,0,22,2,4,2,1.9183,1,2
2011-10-16,9,5,5,7,5,6,37,5,1,1,1.7925,1,4
2011-10-01,5,1,1,0,5,2,14,4,2,2,1.9183,0,3
2011-09-16,7,3,1,1,9,8,29,5,1,1,2.2516,1,3
2011-09-01,7,2,4,5,3,3,24,4,2,1,2.2516,0,4
2011-08-16,5,3,6,9,6,0,29,3,3,1,2.2516,0,4
2011-08-01,2,1,8,7,5,6,29,3,3,0,2.585,0,4
2011-07-16,1,1,6,5,5,6,24,4,2,3,1.585,0,4
2011-07-01,6,2,2,9,5,3,27,3,3,1,2.2516,0,2
2011-06-16,3,5,1,2,7,6,24,4,2,0,2.585,0,3
2011-06-01,5,6,2,3,7,0,23,3,3,0,2.585,0,2
2011-05-16,4,0,6,4,1,7,22,2,4,1,2.2516,0,2
2011-05-02,0,5,4,1,3,6,19,3,3,0,2.585,0,4
2011-04-16,8,2,5,9,8,8,40,2,4,1,1.7925,1,3
2011-04-01,8,1,4,9,3,1,26,4,2,1,2.2516,0,2
2011-03-16,5,9,3,3,3,1,24,6,0,1,1.7925,1,3
2011-03-01,6,5,6,0,3,7,27,3,3,1,2.2516,0,3
2011-02-16,4,8,1,7,4,6,30,2,4,1,2.2516,0,2
2011-02-01,6,1,0,0,8,9,24,2,4,1,2.2516,1,3
2011-01-16,2,8,1,0,6,2,19,1,5,1,2.2516,1,1
2010-12-30,8,8,4,1,1,2,24,2,4,2,1.9183,0,4
2010-12-16,3,3,4,3,8,0,21,3,3,1,1.7925,0,3
2010-12-01,1,8,1,7,5,2,24,4,2,1,2.2516,0,2
2010-11-16,8,1,3,9,9,3,33,5,1,2,1.9183,0,2
2010-11-01,1,9,1,1,0,0,12,4,2,2,1.4591,1,3
2010-10-16,6,2,1,3,7,7,26,4,2,1,2.2516,0,3
2010-10-01,4,8,8,3,7,2,32,2,4,1,2.2516,0,1
2010-09-16,0,1,7,4,2,2,16,2,4,1,2.2516,0,4
2010-09-01,3,5,4,6,5,6,29,3,3,2,1.9183,1,5
2010-08-16,9,1,1,0,9,7,27,5,1,2,1.9183,0,3
2010-08-01,2,1,0,0,0,8,11,1,5,1,1.7925,1,4
2010-07-16,1,8,0,3,8,7,27,3,3,1,2.2516,1,2
2010-07-01,4,8,0,2,3,9,26,2,4,0,2.585,0,2
2010-06-16,5,0,0,1,0,4,10,2,4,1,1.7925,1,3
2010-06-01,4,4,4,8,7,4,31,1,5,1,1.2516,1,4
2010-05-16,4,8,0,0,1,2,15,1,5,1,2.2516,1,3
2010-05-02,3,6,0,3,7,1,20,4,2,1,2.2516,0,2
2010-04-16,2,1,1,7,4,3,18,4,2,1,2.2516,0,4
2010-04-01,9,5,9,5,1,7,36,6,0,2,1.9183,0,0
2010-03-16,3,6,4,2,2,2,19,1,5,1,1.7925,0,5
2010-03-01,2,1,5,2,2,7,19,3,3,1,1.7925,0,3
2010-02-16,1,3,3,7,0,7,21,5,1,2,1.9183,0,2
2010-02-01,1,8,6,3,1,2,21,3,3,1,2.2516,0,4
2010-01-16,0,7,3,5,7,7,29,5,1,1,1.7925,1,3
2009-12-30,9,9,4,3,0,4,29,3,3,2,1.9183,0,3
